,SBI Bluechip Fund,ICICI Pru Bluechip Fund,Nippon Large Cap Fund,Axis Bluechip Fund,HDFC Top 100 Fund
2022-05-26,-2.409616040966328,1.8817622226322255,3.839763921457303,-1.7717467917537826,1.4869752412503932
2022-05-27,-2.1417143678342,1.7895611125391266,3.877948854982791,-1.9858903631910279,1.4312672382558287
2022-05-30,-1.9472645731727016,1.3371782025516394,3.3678880266046867,-2.4690036501877723,1.782720938759525
2022-05-31,-1.3357621987980124,1.2462811242324963,2.7252881489767216,-2.2601022579262864,2.2218447850220047
2022-06-01,-1.363919947441443,1.1508922657947003,2.5597933265670387,-1.8057454135860496,2.0659717499365993
2022-06-02,-1.1414557081130974,0.7726859907613862,2.5469986380694123,-1.9631433843833241,2.0090399036662525
2022-06-03,-0.8922267979606178,0.6896887139414287,2.3177835801694853,-2.0523793106761268,2.24098018207476
2022-06-06,-1.5524851991653,0.5787865676922094,2.3621358440032396,-2.0495720820456116,2.2466082853296405
2022-06-07,-1.5132966778311934,1.5623770819497462,2.463230751719265,-2.083738281593756,2.364943752036876
2022-06-08,-1.5147788428549602,1.8797652377444105,2.4965986991442715,-2.2162719391236063,2.4340361466373786
2022-06-09,-0.7211433076555724,1.8794585560439203,2.4637257410019537,-1.9550181555933672,2.6838438268596847
2022-06-10,-0.6551903192177893,1.967163528538537,2.611528301625956,-2.3438681690848155,3.0437836535753062
2022-06-13,-0.618354323209308,1.91288739653402,2.673913618417333,-1.8888361041229274,3.3814410820144576
2022-06-14,-0.4099006404654407,1.796332360003845,2.5005828013203133,-1.9371715152291118,3.3711941787881767
2022-06-15,-0.7007562469459064,1.8820200844190658,2.879019991940225,-1.2936550677263776,3.4316251856418534
2022-06-16,-0.36455462173675235,1.8165467228929015,2.4007433166991525,-1.0143015406244666,3.648384762346056
2022-06-17,-0.16591133314456072,2.154963122295966,2.0324037403227986,-1.0433509297635375,3.879545063046036
2022-06-20,0.09680291263614907,2.3379001149281917,1.91859873683646,-1.3285966329809118,4.324813219333785
2022-06-21,-0.4331608890342819,2.4872335033233606,1.9754071664924449,-1.4456055340699772,3.832070691076459
2022-06-22,-0.15769938718970736,2.5777583710870773,1.9223931065578774,-1.5717327480250034,3.6830176303832167
2022-06-23,-0.2209308289508319,2.711270934681297,2.311973429746296,-1.7068548270916377,3.690565738284164
2022-06-24,-0.26616593880522244,2.8739035260062025,1.810771455064561,-1.948723934475348,3.7268970943568025
2022-06-27,0.37144709757651945,2.2720013102753307,1.812751241395554,-2.1403199492501916,3.713747276227632
2022-06-28,0.15024926828958982,1.8808910362186755,2.0238093023408017,-2.1400228817420115,3.5476222713004053
2022-06-29,0.41151125252314,1.7315792869837794,1.9148074328766687,-1.6976138999217794,3.410107754057071
2022-06-30,0.6851472410478573,2.00616125715516,2.1042547929146833,-1.7307748903057842,3.2627603702160486
2022-07-01,0.5518552545120775,2.0677644371864687,2.315124638009735,-1.7183661013285338,3.577404229813101
2022-07-04,0.11913209845384226,2.416500543085483,2.4659079683408347,-1.6364025091290237,3.382450645070802
2022-07-05,0.09989422466188386,2.180281558473845,1.862565825547775,-1.9746178888988781,3.1300207335978487
2022-07-06,-0.07572034162597517,2.4816704212040888,1.9933344293696496,-1.816916301408582,3.0119745914260054
2022-07-07,0.06823080716259784,2.397490161590829,1.9658278294489657,-1.5561793756192444,2.671676524636595
2022-07-08,0.17229698229735993,2.5205818912986158,1.727647032333812,-1.514838847515829,3.2780430063021395
2022-07-11,0.5912863014814297,2.3505983135882116,1.5320388869727337,-1.5952564738852542,3.297583060578687
2022-07-12,0.530675942188404,2.3048591985191664,1.3201338709460462,-1.3663280610648887,3.3602989918448007
2022-07-13,0.2773327050853856,2.539607024344589,1.565232885718353,-0.930671034759625,3.033789943511396
2022-07-14,0.3637017491616727,2.277431906075897,1.993313833759115,-0.8311064908476834,2.631616011972019
2022-07-15,0.4653115191765119,2.553930633014127,1.9767492779208211,-0.5260171621430358,2.3779287912192193
2022-07-18,0.44738208205014784,2.4170005966569974,2.123147718488359,-0.6959202788947773,2.750218573629915
2022-07-19,0.7573696532513974,2.4274015057868885,2.4579675346211993,-0.30469402572088966,2.493057967791659
2022-07-20,0.579455636045504,2.4745823125452002,2.558174876310942,-0.4372717791605634,2.8521270272967474
2022-07-21,0.5021839568854595,1.7055260082301449,2.7243761788037064,-0.34765711967367124,2.6785250891056727
2022-07-22,0.3625260554237868,1.7181589354246192,2.524782080829064,-0.42445551392597203,2.995301208912379
2022-07-25,0.3353415319297835,1.750825343114672,2.276051027443461,-0.39013622793429864,3.2498115557545173
2022-07-26,0.261381411111879,1.8613632468692287,2.3771996881050934,-0.3300541765473748,3.235253027770425
2022-07-27,0.0763778028726132,2.224319883393381,2.0655551512742236,0.13536330231519447,2.9479085442302844
2022-07-28,0.11104265141321452,2.239180960732909,1.677743740737601,-0.3137025772072064,2.314706169606815
2022-07-29,-0.012896195058503868,2.6002695202955906,1.7708574654516476,0.03502700553238377,2.0725388338454946
2022-08-01,0.12028268128578798,2.797312030469789,1.9420850261253055,0.4374826850744007,2.049154278602923
2022-08-02,0.21740361193913274,2.9580838240382246,1.5852077329297116,0.3648892297134295,2.078099632104823
2022-08-03,0.29596329213298955,3.2298382604370204,1.6807997772466643,0.48205732363278514,2.1676391945549254
2022-08-04,0.5614780018768069,3.2387917204316468,1.5970303902842855,0.4232043874743567,2.287886492217522
2022-08-05,0.46660707479886565,2.6446231797216564,1.337502879807502,0.3235981413056223,2.2787081411517076
2022-08-08,0.08193307746682765,2.523508651598679,1.3938485260275402,0.1523949176705357,1.8469144914335285
2022-08-09,0.43782795404183805,2.7124927539809494,1.4560439240383065,0.23729087223329418,1.9037441845326577
2022-08-10,0.341838014289569,2.9219791864822344,1.4567909418899927,0.6775195322974024,1.9126477016620484
2022-08-11,0.056705032213912626,2.9147416882156647,0.8618889876065408,1.0142209407220002,2.225033598746511
2022-08-12,0.2943630831468159,2.956219440785955,1.1985836228371463,1.2834255216440544,2.2030830237937975
2022-08-15,0.05081316884715415,2.645893196665582,0.938663218255672,1.0502332909976222,2.6422328846476613
2022-08-16,-0.08802456341896475,2.586397797163001,0.5265973474256724,1.0699688677720731,2.7511356500660304
2022-08-17,0.1314100639569078,2.8849956386690088,0.3942559225919969,1.1344483080701626,2.331311176393632
2022-08-18,-0.30827158987714137,2.772767044695865,-0.014757077316825762,1.1340841712524066,2.161999619093419
2022-08-19,0.36015967161283263,2.8913222845060207,-0.3303520470205392,1.3332149897137213,1.9836606533299221
2022-08-22,0.28253474070856205,2.7071924467801276,-0.3971785483794156,1.6827767577034893,1.8044043947800001
2022-08-23,0.42207632750964613,2.9291882791797876,-0.19978870767645965,1.222106127316687,1.6796738534580729
2022-08-24,0.8250968290275884,2.762518356985795,-0.11838759462209376,1.1420420012419656,1.4744706507028524
2022-08-25,0.7619213383000731,2.5640416316831485,-0.8673609927271221,0.884378344918139,1.4813826966405441
2022-08-26,1.010869955979172,2.382385457336017,-1.1842742632541572,0.8286147939480475,1.4549267206331686
2022-08-29,0.8794412101210748,2.1203592842594476,-1.1513979605030455,0.9824264880726533,1.9019860855685298
2022-08-30,0.6551060280889636,2.0500137386947648,-1.1063142873923555,1.2123256050817888,1.5116731955586502
2022-08-31,0.3647718936446487,1.8968775290618112,-1.1361734737572406,1.269818124487713,1.3065497893228148
2022-09-01,0.5298209613529524,2.1193129672137663,-1.1452487690023285,1.1037980297285437,1.6231453466344907
2022-09-02,0.7404220034136135,1.6897597241648212,-0.8144260453763332,1.1521534022260576,1.981273697055307
2022-09-05,0.9941038308752553,1.4075434642624751,-1.0770244061063279,1.100725339959522,2.2869978941228957
2022-09-06,0.824518007243113,1.5038528670854292,-1.3504253978773417,1.2746785773108746,2.6964005128736024
2022-09-07,1.0298272846753664,1.595996642023195,-0.8007636527559863,0.9438121349346822,2.6926763281114083
2022-09-08,1.0817888889582132,1.4686716248513267,-0.6963630022848231,1.0049722010286632,2.7927693546629007
2022-09-09,1.443097430758012,1.4702596393657448,-0.7889348979697548,1.3766419083952304,2.7747161755269287
2022-09-12,1.5369700468240906,1.2322173027888348,-0.6055836711410244,1.0267176738017838,2.733921763038574
2022-09-13,1.2042705781660734,1.370288023629325,-0.6127332667262698,1.010110962184389,2.775341783226711
2022-09-14,1.1330277710724643,1.3205465426213299,-0.17257977778436248,1.040162378691131,2.4705834837915632
2022-09-15,1.2797435955818406,1.1418273864331472,-0.2663939328203057,0.9711841313859222,2.1721252248840344
2022-09-16,1.311140089170294,1.3146139094431257,-0.3730516110707444,0.9470520313041842,2.232918982536911
2022-09-19,1.7244944965340436,1.261886056083208,-0.3671083022371272,1.2293487396995941,1.8713126037110994
2022-09-20,1.7559920888907838,1.6928228772569525,0.23555250412409892,1.410853915345389,1.767157872548474
2022-09-21,1.6947990455784816,0.8700010556777356,-0.11645069848799931,1.4531558516267453,1.5090015996271369
2022-09-22,1.5313800072658545,0.9143970146859618,-0.3220911047104212,1.6193421984371217,1.5188540525640204
2022-09-23,1.281398227705765,1.1257616896138094,-0.5260945068300824,1.9115002752988506,1.5936812493472305
2022-09-26,1.4706915919426424,1.3361993663323193,-0.30055534785201604,2.3719218570536293,1.3826567276773536
2022-09-27,1.699705591384113,1.5165902660423642,-0.5464657237801479,2.6162774510696627,1.972466397151056
2022-09-28,1.8024819151998304,1.9063368538064285,-0.6292704279185106,2.946130724271768,1.5896974256714438
2022-09-29,1.7127599407560523,1.8175208354050807,-0.8820135336584265,3.094435690932565,1.8188077869636636
2022-09-30,1.7737236005868255,1.8241011255155113,-1.0904059648392208,3.1844487270715116,1.8137503673478126
2022-10-03,1.77044086200043,1.8348130465050705,-0.6610802682171191,3.622848754240033,1.382005084268824
2022-10-04,1.2863206895801504,1.863311337694942,-0.3877210274868557,3.6498874654153983,1.531656145169686
2022-10-05,1.2825139448815484,1.631501153589076,-0.2945304408722236,3.440689281080217,1.3128779670502675
2022-10-06,1.2461983796547147,1.9018169273795886,-0.43438120162942323,3.2091514520550724,0.9559881753851255
2022-10-07,1.0424261442037257,1.783230412090451,-0.23980924811207038,3.0227272407955663,0.49265809602258254
2022-10-10,1.4874794747063684,1.7746851797650531,-0.0904990142593948,3.16204317929169,0.4095674786253609
2022-10-11,1.5946847403057942,1.5117946882174986,-0.12016575601899322,2.95086566108081,0.3836039369450358
2022-10-12,1.7744825375422784,1.1690537749442502,0.004249837087023105,3.049859682960826,0.2588021677106467
2022-10-13,1.557560138571895,1.5387787726461493,-0.18479686743422138,2.671249269734313,0.09063675344275009
2022-10-14,1.3162640169364161,1.6728453773371803,-0.35967087065783704,3.1066722347646807,0.2445778386713511
2022-10-17,1.0775909633801863,1.7791648304002314,-0.14707609226809096,2.4769527107393268,0.11519241995085433
2022-10-18,1.1790379783259353,1.7136464837476204,-0.3090099071628209,2.6188869925307374,-0.18920854862528882
2022-10-19,1.5045109323842418,1.6734906879056977,-0.7360088628293193,2.4172216114715237,-0.07678945849223068
2022-10-20,1.3941980786280084,1.8042041455214004,-0.4958294724630534,2.2243820550953566,-0.652906754956462
2022-10-21,1.8309306443084863,1.656035183643526,-0.08664456334390101,2.165586876130631,-0.605019854610534
2022-10-24,1.7949482191375565,1.9807366428631494,-0.13232797900080495,2.0461422784191696,-1.1066388191402385
2022-10-25,2.1507351914586526,1.7992534954463069,-0.37451160234759745,2.1195178014815554,-0.8287094350443522
2022-10-26,2.0829434370408424,1.9882479221471903,-0.5356073161431351,2.3713184013319255,-0.518429503864323
2022-10-27,2.468701442916127,2.186935295222239,-0.8117893171876591,2.33514528085902,-0.6740782922263907
2022-10-28,2.3090986083438128,1.9782008284289645,-0.3868840984378665,2.8078434545105178,-0.687047756558483
2022-10-31,2.100345752973253,2.0060102437855036,-0.6253448951096583,3.185684663319741,-0.8217515915524033
2022-11-01,2.1449044288715906,2.181904025113257,-0.7757353453325732,3.505128926310005,-0.5780834989140664
2022-11-02,2.2089764758215598,2.163820955001628,-0.7074792907811157,3.3143632893093367,-0.45991385896526654
2022-11-03,2.0982695423147333,1.681379434980192,-1.078163220028156,3.3222776676030863,-0.41093934357219286
2022-11-04,2.209290627449352,1.6729767454049693,-0.914818240964732,3.0224386167520625,-0.3516108141208778
2022-11-07,2.8796118948505898,1.4157694931373734,-1.5770705200365382,2.6655730684781407,-0.20591907874986135
2022-11-08,2.477514712441349,1.3041412363232388,-1.2055616972200498,2.9978333321144306,-0.254980432107509
2022-11-09,2.8021340246734683,0.8837033760287852,-1.7063021789274138,2.873535477116848,-0.41250164231038317
2022-11-10,2.395722756965526,0.610252078963152,-1.7634936538627548,2.6626255272197024,-0.26348372929962016
2022-11-11,2.4831327322366783,0.6808581358760623,-1.3646669045918662,2.6536676044331196,-0.3077054404938791
2022-11-14,2.416571971808119,0.5402119642284413,-0.7861949866584775,2.533075951196762,-0.8111960668241549
2022-11-15,2.5770856911239237,0.6318485702892525,-1.1424298361611394,2.8045337405568813,-0.5624484298425466
2022-11-16,2.427421962560837,0.8821152826054045,-1.3565096763240372,2.8045507291684584,-0.3103239746956178
2022-11-17,2.156585631366027,0.8355303809104905,-1.601797965656189,2.9432370504629484,0.09129634482360244
2022-11-18,2.5115300645327827,0.8237029145377547,-1.9702763555764287,3.0213558137518257,0.43805463239118936
2022-11-21,2.333157632253683,0.601206747107586,-1.6573466725822765,3.5055408163603667,0.2992985069962875
2022-11-22,2.1572372571733878,0.9691673940806309,-2.0104055721580805,3.1467207066277476,0.3375109251506908
2022-11-23,2.4904338053913735,0.8856342649568324,-2.0535246603891903,3.1401714039197377,0.3592171291070128
2022-11-24,2.3317506833277695,1.3593306420251792,-2.032089225266016,3.4949583549007905,0.6341052527650755
2022-11-25,2.6119227462896726,1.1515355705692842,-1.7671792028449858,3.7622440084031297,0.43516157245901005
2022-11-28,2.588207581354272,1.0202571861496388,-1.7618482912528886,4.2487388372463775,0.6156911746614093
2022-11-29,2.415144154603333,0.7853439349225544,-1.8278480588413997,4.273360748708251,0.502924825573384
2022-11-30,2.705830890791512,1.0939799980186438,-1.5357265365404973,3.4138982690171034,0.4153135847049531
2022-12-01,2.491799320676148,0.8621193942358583,-1.5357356553210708,3.6430455207982964,0.5427326582834205
2022-12-02,2.5823404633331886,0.730703772233884,-1.6082172206234768,3.9257197772939376,0.964253960162327
2022-12-05,2.390029616418453,0.4959292971108672,-1.999916013048132,3.6483121462817207,0.25353889928925677
2022-12-06,2.3098632916647444,0.5252424071304912,-2.1410847574441427,3.9078746613530813,0.2529905902880673
2022-12-07,2.5222555799247495,0.46542325656488887,-2.331912964402761,3.562842316669536,0.08907480098203706
2022-12-08,2.6254411497720658,0.1796465019037914,-2.446673978553949,3.295709088108705,-0.23101235075958168
2022-12-09,2.3453810374606454,0.67309506663974,-2.4858176056857877,3.6119665678701196,-0.20419261570944847
2022-12-12,2.416738699295755,0.8873911292221668,-2.5174858791514416,3.596431726542098,0.14784536883499869
2022-12-13,2.0414406504852716,0.7205109222506607,-2.590683429139307,3.9399724529156677,0.2868637415277292
2022-12-14,1.8401449582131986,0.03901058433195657,-2.453769952667296,4.055821757319052,-0.1284211114886206
2022-12-15,2.343060046107576,0.003215202322051661,-2.0548487361631906,3.7278694181419727,-0.22378611811226023
2022-12-16,2.3018009169738836,-0.1863980643307501,-1.97914892226859,3.4830508812499423,-0.4492857190777634
2022-12-19,2.2440783771420696,0.05565743119291787,-1.4598330766342278,3.8695974612416353,-0.590493091847058
2022-12-20,2.264489937850995,0.38148816563838245,-1.2014023987564464,3.30746997875601,-0.5668703833218334
2022-12-21,2.395123250999765,-0.008952863065630888,-0.6973837566526033,3.154149669787522,-0.5924340041160844
2022-12-22,2.7121832149870944,0.048998766921804084,-0.36037965375422387,3.2143931272237545,-0.5043774444797369
2022-12-23,2.2668526671385103,-0.06192653301480638,-0.35602765517941176,2.9846935105532517,-0.6031643389164999
2022-12-26,2.1128709888646617,0.25286892328202687,-0.047383100285684245,2.8149935959678873,-0.7697967116326389
2022-12-27,2.179042371709115,0.13485125065303782,-0.11641800199101691,2.733776213846601,-0.5222322031058475
2022-12-28,1.7641371588253054,0.4894522389663301,-0.2220935570664833,2.763992706916953,-0.6092562521863353
2022-12-29,1.881158949326131,0.5691117757401004,0.15162382422122833,2.7899005820223057,-1.0031395483669943
2022-12-30,2.143744303599166,0.8790661859949739,0.32991550122327495,2.8761467337845064,-0.7553890022581791
2023-01-02,2.136572525851115,1.1574894928977097,0.3534869423643067,2.5254008216715937,-0.9120915449367866
2023-01-03,2.274521787930962,1.284260837080213,0.7161221411069265,2.2020020836758367,-0.7737669591988553
2023-01-04,1.6505857060177977,1.2121059799002447,0.9070631422431348,2.1628484424212573,-0.46769590652344606
2023-01-05,1.422806720819343,0.9062875556288219,0.9624668178262856,2.281468414706972,-0.8767305584686663
2023-01-06,1.3372659211436078,1.2519598373492915,0.6581753988181611,2.6524333016575654,-1.117706654120292
2023-01-09,0.9991906625490123,1.5065502110440279,0.9031687284476275,2.8127613463171826,-1.3540542947899339
2023-01-10,1.2456933425230767,1.4722448772538073,0.9574999591396179,3.0566806497470482,-1.1535625720375415
2023-01-11,0.7890314699317119,1.3544728458765534,0.8251973661811869,3.1187822069013036,-1.5434923812499588
2023-01-12,0.760903642815367,1.547139047306455,0.6955137821672448,2.8406549308091136,-1.4485283034910905
2023-01-13,0.3589163201742473,1.5245517212853454,0.5785860809677527,2.860922398955592,-1.4162623298399701
2023-01-16,0.4895821188373759,1.3530426307440064,0.5063931470470031,3.090022341575537,-1.5529690863819046
2023-01-17,0.3941718843785337,1.5167838186878668,0.3456247404238469,3.254389145817334,-1.816657284379138
2023-01-18,0.7540309437806553,1.3115488949887484,-0.15121822656297013,3.151600450308234,-1.7189176786562692
2023-01-19,0.6784411589200346,1.375143517217451,0.1770804304681112,3.104361622691889,-1.5076629948281302
2023-01-20,0.5544196059392148,1.3932805292062258,-0.011237044749836958,2.617084217037605,-1.2129116886470863
2023-01-23,0.5144374535074645,1.1975340105381798,0.287580550817992,2.540531079957841,-0.8258582405637686
2023-01-24,0.470583051827547,0.7738094053875442,-0.2760104182038487,2.2980377287328317,-0.6439114307152718
2023-01-25,0.3852930878567877,1.2667998123614088,0.19305947716080407,2.347108442443489,-0.4987718040040033
2023-01-26,0.5338914401640503,1.2592627299013046,0.34631943009562083,2.528041378335425,-0.5770655345600447
2023-01-27,0.7218546089092386,0.8946105137599853,0.6756037358649449,2.5433543717437503,-0.846766433691738
2023-01-30,0.8137811812789411,0.9807598680894186,0.7543580648392476,1.8317307491413994,-0.7133832422265481
2023-01-31,0.7829783108771465,0.5780938006836255,1.133115578151048,1.7591955377811055,-1.0760144820236337
2023-02-01,0.9972699792408941,-0.001319848273621131,1.0913665180614491,1.7158137693278077,-0.7062518919437528
2023-02-02,0.9986256048569596,0.00350761237530688,1.677045066920195,1.3223870696396636,-1.078252492149953
2023-02-03,1.29178861686175,-0.10521787132021475,1.345783286133942,1.4501217077100483,-1.191995898035879
2023-02-06,0.9089441734291966,0.10992936372699558,1.1229832448465447,1.2809729010962836,-0.7844789858132081
2023-02-07,1.025935657692168,0.10530848544429405,1.3518163804058403,1.147862322929527,-1.6678453843004564
2023-02-08,1.0926285386163455,0.51296471804147,1.5586384506171196,0.9281029775321946,-1.2337741368818425
2023-02-09,1.1271644113777426,0.7099474161962188,1.6755721152693548,1.051863584113032,-1.1337561833590086
2023-02-10,1.212761851841439,1.085480398107198,1.5653255576019254,1.4640524441217893,-1.2274397469988738
2023-02-13,1.124215811495253,0.7054788088261225,1.7346513667838757,1.363453109616543,-1.1613914595468482
2023-02-14,0.9591185799554415,0.8488622430187177,1.464314394536587,1.2370874675998482,-1.133348553063684
2023-02-15,0.6990391495297616,1.4014860954830672,1.5480721510655209,1.2910800205205941,-1.1656722563362045
2023-02-16,0.6678592311027901,1.1529866369341646,1.6910099684410405,1.5329757607983698,-0.9351615214212234
2023-02-17,0.9473937769051027,1.283688417858098,1.4415019957334978,1.429570236867879,-0.9144339596909298
2023-02-20,0.987803525230263,1.061929399517578,1.051268419149078,1.8833461562024234,-0.7959929218127074
2023-02-21,1.0468316337234378,0.8614798254682184,1.335153489838865,1.744284677426003,-0.3940845565933337
2023-02-22,1.0146847636404994,0.6280173075020475,1.7687033123513045,1.3765604007659518,-0.38621030369433845
2023-02-23,1.0604151500802423,0.7243003609936619,2.055915447568952,1.3444355378852904,0.34276835586041243
2023-02-24,0.5798996069474349,0.48835231338303176,1.7592475525489888,1.3287874003241849,0.018847659467037484
2023-02-27,0.34129038879985485,0.15844707745459058,1.9070980458836349,1.692637440211093,0.2155885166001045
2023-02-28,0.05274882278249213,0.15675620104705293,1.8089513360966434,1.593265629369582,0.19825312973539777
2023-03-01,0.017200304227340604,-0.1231440263483424,1.8623310014568102,1.5047601474375203,0.10975166794440563
2023-03-02,0.010142191345188454,-0.24771393811300238,2.3125801967788346,1.421543659022186,0.12836065028736926
2023-03-03,0.06050541497871491,-0.33555033439149157,1.9643823511203078,1.3590847133391586,-0.36517776577306815
2023-03-06,-0.04998622659802985,-0.15107984228695065,2.304141716144513,0.9668719347146416,-0.2615503988190326
2023-03-07,0.30131502642281444,-0.4535385392398175,2.425905871648417,0.6856286004039968,-0.5328377185867218
2023-03-08,0.24056186397280754,-0.29279990389617533,2.6031971164139267,0.6023776807915382,-0.19581602033103065
2023-03-09,0.416494819414954,0.03485033352280779,3.010339065099079,0.3249868079932477,-0.2699104885197852
2023-03-10,0.368049542772059,-0.1170309083485043,2.611857241500473,0.671392206425072,-0.18592421482100494
2023-03-13,-0.0696448115011886,-0.2185466019824651,2.9833607545222973,0.8039296210967264,0.30036935050217867
2023-03-14,0.45481052289847307,-0.259930978487222,3.2434311428337224,0.4342275003067448,0.3798857144509194
2023-03-15,0.4791473397773343,-0.24721346305249262,3.5814639653265123,0.5289756475471532,0.24054377419614298
2023-03-16,0.9185956849869833,0.24326539855233978,4.065334582818726,0.590084540851193,0.1791859180672889
2023-03-17,1.2290779011442399,0.10870973899058296,3.8563910717770638,0.6142149414959357,-0.047272536753604044
2023-03-20,1.0445840923803058,0.3491689153721111,3.5823400208062983,0.6696334795899869,0.3834993093686188
2023-03-21,1.1528665778832228,0.41037961487184377,4.296894427307698,0.5970461526178117,0.2764428481425452
2023-03-22,1.297707257306647,0.25113117115498196,4.240524084138084,0.42510797341913664,0.4345534339759353
2023-03-23,1.4889977785335835,0.35871887123868207,3.843262321344314,0.20894566238853643,0.20971971761967315
2023-03-24,1.3452949809407126,0.3810629772456695,3.6030646989441073,-0.20662576171926703,-0.30759773680677666
2023-03-27,1.5000315150173404,0.4660597164036335,3.757323211880447,0.230871744148537,-0.10564124475903598
2023-03-28,1.5665856410765382,-0.21248330126353668,3.831052822263843,0.665878642518049,-0.44305508052586673
2023-03-29,1.4041636629370398,-0.2512434507262091,3.7666331947049247,0.7884461852316427,-0.5753898879361129
2023-03-30,1.8630549481395344,0.004857991365045693,3.6359126360021947,0.20933747879060063,-0.0676658758177551
2023-03-31,1.3280290125548535,-0.05543637539205105,3.5971840563219355,0.45444224571331393,-0.008367899916206666
2023-04-03,0.9891737125289047,0.10940598584266717,3.5744481901106178,0.09649895369178474,-0.26385753546228385
2023-04-04,1.5836678585588542,0.4587180799365341,3.5461029476799335,0.051745908026218666,-0.1712776178629025
2023-04-05,1.6891122850311793,0.12077164808620575,3.4412541673644967,0.2332062484611792,-0.08380736843032276
2023-04-06,1.9252372993925748,0.1929078595745959,3.43308860107974,-0.11168464227022623,0.02415381419764635
2023-04-07,1.8875673705867326,0.19083028522534082,3.386432512551602,-0.26664826373992234,-0.08592995170959056
2023-04-10,2.038421055120663,0.09657630962467682,4.023331467683905,-0.07056514786457582,0.2636085330101393
2023-04-11,1.885470729525239,0.008506625856844651,4.341811113371368,-0.1731167778565993,0.4723661836460107
2023-04-12,1.8091778389000637,0.10421948831072554,4.2957765263176535,0.2565792080291549,0.5065853843408095
2023-04-13,1.5287955557470507,-0.1541695634160362,4.558380016000573,0.508299277982179,0.9069607483175232
2023-04-14,1.9337896588124739,-0.5532754905874138,4.59337074962414,0.3922890535737235,0.7515480154091208
